Sample,A0,A1,A2
695,557.0,323.0,216.0
696,555.0,322.0,216.0
697,550.0,316.0,216.0
698,543.0,313.0,212.0
699,534.0,315.0,208.0
700,534.0,318.0,204.0
701,539.0,318.0,203.0
702,544.0,318.0,204.0
703,548.0,317.0,205.0
704,551.0,315.0,209.0
705,553.0,313.0,209.0
706,547.0,311.0,207.0
707,546.0,306.0,204.0
708,551.0,305.0,203.0
709,555.0,311.0,204.0
710,557.0,317.0,207.0
711,558.0,322.0,210.0
712,555.0,323.0,211.0
713,553.0,320.0,211.0
714,549.0,314.0,209.0
715,539.0,313.0,205.0
716,533.0,316.0,201.0
717,536.0,318.0,199.0
718,541.0,318.0,199.0
719,545.0,318.0,200.0
720,550.0,317.0,204.0
721,553.0,314.0,206.0
722,552.0,312.0,207.0
723,545.0,308.0,205.0
724,548.0,305.0,202.0
725,552.0,307.0,202.0
726,555.0,313.0,205.0
727,557.0,319.0,207.0
728,556.0,323.0,209.0
729,554.0,323.0,210.0
730,551.0,318.0,210.0
731,546.0,313.0,207.0
732,536.0,314.0,203.0
733,533.0,317.0,199.0
734,538.0,318.0,199.0
735,542.0,318.0,200.0
736,547.0,318.0,204.0
737,551.0,317.0,208.0
738,552.0,314.0,212.0
739,549.0,311.0,214.0
740,545.0,306.0,212.0
741,549.0,305.0,208.0
742,554.0,308.0,209.0
743,556.0,315.0,211.0
744,557.0,321.0,214.0
745,556.0,323.0,215.0
746,554.0,321.0,215.0
747,550.0,315.0,214.0
748,543.0,312.0,211.0
749,534.0,315.0,207.0
750,534.0,318.0,203.0
751,539.0,319.0,202.0
752,544.0,318.0,204.0
753,548.0,317.0,206.0
754,552.0,315.0,207.0
755,552.0,313.0,208.0
756,546.0,309.0,206.0
757,547.0,304.0,204.0
758,551.0,304.0,202.0
759,555.0,310.0,204.0
760,557.0,316.0,207.0
761,557.0,321.0,209.0
762,555.0,323.0,211.0
763,553.0,319.0,210.0
764,549.0,314.0,208.0
765,538.0,313.0,205.0
766,534.0,316.0,200.0
767,536.0,318.0,198.0
768,541.0,317.0,199.0
769,546.0,317.0,200.0
770,550.0,316.0,205.0
771,552.0,314.0,208.0
772,552.0,311.0,210.0
773,545.0,307.0,209.0
774,548.0,304.0,206.0
775,552.0,306.0,206.0
776,556.0,313.0,207.0
777,557.0,319.0,211.0
778,556.0,322.0,213.0
779,555.0,321.0,214.0
780,551.0,317.0,213.0
781,545.0,312.0,210.0
782,536.0,314.0,207.0
783,534.0,317.0,202.0
784,538.0,317.0,201.0
785,543.0,318.0,202.0
786,547.0,318.0,204.0
787,551.0,315.0,208.0
788,552.0,313.0,211.0
789,550.0,310.0,212.0
790,546.0,305.0,208.0
791,550.0,304.0,206.0
792,554.0,309.0,206.0
793,557.0,315.0,210.0
794,557.0,321.0,212.0
795,556.0,323.0,214.0
796,554.0,320.0,214.0
797,550.0,315.0,213.0
798,542.0,312.0,210.0
799,534.0,315.0,205.0
800,535.0,317.0,203.0
801,540.0,317.0,202.0
802,544.0,317.0,203.0
803,548.0,316.0,205.0
804,551.0,314.0,207.0
805,552.0,312.0,207.0
806,545.0,308.0,205.0
807,548.0,303.0,202.0
808,552.0,304.0,202.0
809,555.0,311.0,204.0
810,557.0,316.0,207.0
811,556.0,322.0,209.0
812,555.0,322.0,210.0
813,552.0,318.0,210.0
814,548.0,313.0,208.0
815,538.0,312.0,204.0
816,533.0,315.0,201.0
817,537.0,318.0,199.0
818,541.0,318.0,199.0
819,546.0,317.0,202.0
820,550.0,315.0,205.0
821,552.0,313.0,209.0
822,551.0,311.0,210.0
823,545.0,307.0,208.0
824,549.0,303.0,205.0
825,553.0,307.0,204.0
826,556.0,313.0,207.0
827,557.0,320.0,210.0
828,556.0,322.0,212.0
829,555.0,322.0,212.0
830,552.0,317.0,212.0
831,545.0,313.0,208.0
832,535.0,314.0,203.0
833,533.0,317.0,200.0
834,538.0,318.0,200.0
835,542.0,318.0,201.0
836,546.0,318.0,205.0
837,551.0,316.0,207.0
838,552.0,314.0,208.0
839,548.0,310.0,207.0
840,545.0,305.0,204.0
841,549.0,305.0,202.0
842,554.0,309.0,203.0
843,556.0,317.0,206.0
844,557.0,322.0,209.0
845,556.0,324.0,210.0
846,553.0,322.0,211.0
847,549.0,316.0,209.0
848,541.0,314.0,206.0
849,533.0,317.0,201.0
850,535.0,318.0,198.0
851,539.0,319.0,197.0
852,544.0,319.0,199.0
853,548.0,317.0,202.0
854,551.0,317.0,206.0
855,552.0,313.0,208.0
856,545.0,310.0,207.0
857,546.0,305.0,203.0
858,552.0,307.0,201.0
859,555.0,312.0,204.0
860,556.0,319.0,207.0
861,557.0,324.0,208.0
862,554.0,324.0,210.0
863,553.0,321.0,210.0
864,547.0,315.0,207.0
865,537.0,315.0,203.0
866,533.0,318.0,199.0
867,537.0,319.0,198.0
868,541.0,319.0,199.0
869,546.0,319.0,201.0
870,550.0,318.0,204.0
871,552.0,316.0,207.0
872,551.0,313.0,208.0
873,544.0,309.0,205.0
874,548.0,306.0,203.0
875,552.0,309.0,203.0
876,556.0,316.0,205.0
877,556.0,322.0,208.0
878,556.0,325.0,211.0
879,554.0,324.0,211.0
880,551.0,320.0,210.0
881,544.0,315.0,207.0
882,534.0,318.0,202.0
883,533.0,319.0,200.0
884,539.0,321.0,199.0
885,543.0,320.0,200.0
886,547.0,320.0,203.0
887,551.0,318.0,205.0
888,552.0,316.0,209.0
889,548.0,313.0,209.0
890,545.0,308.0,206.0
891,550.0,307.0,202.0
892,555.0,311.0,204.0
893,556.0,318.0,207.0
894,556.0,324.0,209.0
895,555.0,326.0,211.0
896,553.0,323.0,211.0
897,549.0,317.0,210.0
898,540.0,315.0,207.0
899,533.0,317.0,203.0
900,535.0,320.0,200.0
901,540.0,320.0,199.0
902,544.0,319.0,201.0
903,549.0,319.0,205.0
904,552.0,317.0,207.0
905,552.0,314.0,208.0
906,545.0,311.0,206.0
907,547.0,306.0,202.0
908,552.0,307.0,202.0
909,555.0,313.0,205.0
910,557.0,319.0,207.0
911,557.0,324.0,210.0
912,555.0,324.0,211.0
913,551.0,320.0,210.0
914,547.0,315.0,208.0
915,537.0,315.0,203.0
916,533.0,318.0,200.0
917,537.0,320.0,199.0
918,542.0,320.0,199.0
919,547.0,319.0,203.0
920,551.0,317.0,205.0
921,553.0,315.0,207.0
922,551.0,312.0,207.0
923,545.0,308.0,204.0
924,549.0,306.0,201.0
925,553.0,309.0,201.0
926,556.0,315.0,204.0
927,557.0,321.0,207.0
928,556.0,324.0,209.0
929,554.0,324.0,209.0
930,550.0,318.0,208.0
931,543.0,313.0,205.0
932,535.0,317.0,201.0
933,534.0,318.0,198.0
934,538.0,319.0,197.0
935,543.0,320.0,199.0
936,548.0,318.0,201.0
937,552.0,316.0,206.0
938,552.0,314.0,209.0
939,548.0,312.0,210.0
940,546.0,306.0,208.0
941,550.0,306.0,206.0
942,554.0,310.0,206.0
943,557.0,317.0,209.0
944,557.0,322.0,211.0
945,556.0,323.0,212.0
946,553.0,321.0,213.0
947,549.0,315.0,211.0
948,540.0,315.0,208.0
949,533.0,316.0,203.0
950,536.0,319.0,201.0
951,541.0,319.0,201.0
952,546.0,318.0,202.0
953,549.0,317.0,206.0
954,551.0,315.0,208.0
955,552.0,312.0,211.0
956,544.0,309.0,211.0
957,547.0,304.0,206.0
958,552.0,307.0,206.0
959,556.0,313.0,209.0
960,557.0,319.0,211.0
961,557.0,324.0,214.0
962,555.0,323.0,216.0
963,552.0,318.0,214.0
964,546.0,313.0,212.0
965,537.0,314.0,208.0
966,533.0,316.0,205.0
967,538.0,318.0,203.0
968,542.0,318.0,203.0
969,546.0,317.0,205.0
970,550.0,315.0,207.0
971,552.0,313.0,209.0
972,550.0,310.0,209.0
973,544.0,305.0,206.0
974,549.0,304.0,203.0
975,554.0,307.0,204.0
976,556.0,314.0,206.0
977,557.0,319.0,209.0
978,556.0,322.0,212.0
979,554.0,321.0,212.0
980,551.0,315.0,210.0
981,543.0,312.0,209.0
982,534.0,314.0,204.0
983,534.0,316.0,200.0
984,538.0,317.0,199.0
985,543.0,317.0,200.0
986,547.0,316.0,203.0
987,551.0,314.0,206.0
988,552.0,312.0,207.0
989,546.0,308.0,206.0
990,546.0,303.0,203.0
991,551.0,304.0,201.0
992,554.0,310.0,203.0
993,556.0,316.0,206.0
